dataset,clf,adaptive_quads_enabled,window_ratio,is_parallel,time,ireos_sdo,ireos_abod,ireos_hbos,ireos_iforest,ireos_knn,ireos_lof,ireos_ocsvm
high-noise_5,decision_tree_native,false,0.1,false,44.791338,0.5958873523705017,0.5749158706333165,0.6031907878892835,0.6092523944702477,0.5959568239708836,0.5984021208475091,0.5991095558677753
high-noise_5,decision_tree_native,false,0.5,false,174.3684794,0.5041279334055146,0.5054543700467695,0.5102816803381216,0.5221480605286628,0.5041248888753493,0.506472030819074,0.5039761845170184
high-noise_5,decision_tree_native,false,1.0,false,397.8580538,0.5447707413945498,0.47903144530470715,0.5137898938665755,0.3839041524866265,0.5449758977377537,0.536241411231919,0.5489881561240734
high-noise_5,decision_tree_sklearn,false,0.1,false,35.521855,0.9993005723237592,0.9552083050853017,0.9872194727827842,0.9356955826253172,0.9992958061525555,0.994536596956909,0.9999555602244744
high-noise_5,decision_tree_sklearn,false,0.5,false,101.7914738,0.9978184751876223,0.8524722476157323,0.949763223220129,0.6879011025384784,0.997862836706455,0.9749494871139173,1.0009688469863869
high-noise_5,decision_tree_sklearn,false,1.0,false,200.9989865,0.9883870693043624,0.6431120927879894,0.8388408912177494,0.15255222483455114,0.9885756890900749,0.9221923988802342,0.9972062061837833
high-noise_5,random_forest_native,false,0.1,false,65.5211116,0.11497912011548929,0.14655366948825652,0.15046346400844549,0.24782140108702894,0.11487009276191691,0.12704801230246648,0.1168785211200926
high-noise_5,random_forest_native,false,0.5,false,695.602801,0.001839716990006931,0.06118370168965452,0.04421735210128189,0.19726413734568712,0.0018132327055249433,0.01999309339353662,-0.00013858941300955106
high-noise_5,random_forest_native,false,1.0,false,448.9630061,0.19371165587948874,0.08767881109435723,0.14035553371374654,-0.0739759000665591,0.19391136568750356,0.17567942814501267,0.2033075186178867
high-noise_5,random_forest_sklearn,false,0.1,false,133.2903867,0.11497912011548929,0.14655366948825652,0.15046346400844549,0.24782140108702894,0.11487009276191691,0.12704801230246648,0.1168785211200926
high-noise_5,random_forest_sklearn,false,0.5,false,612.9199533,0.001839716990006931,0.06118370168965452,0.04421735210128189,0.19726413734568712,0.0018132327055249433,0.01999309339353662,-0.00013858941300955106
high-noise_5,random_forest_sklearn,false,1.0,false,453.8307893,0.19371165587948874,0.08767881109435723,0.14035553371374654,-0.0739759000665591,0.19391136568750356,0.17567942814501267,0.2033075186178867
high-noise_5,liblinear,false,0.1,false,16.7517054,0.023344732077912458,0.004146186661654804,0.013745672299851476,-0.0254382465996115,0.023346954884340982,0.016527604944151484,0.024588133715412186
high-noise_5,liblinear,false,0.5,false,53.2239755,0.0043865397277879185,0.002334336914371618,0.003470348906343848,-0.0009778906704956012,0.004386823464145191,0.003954701394494549,0.00444049818976065
high-noise_5,liblinear,false,1.0,false,181.442543,0.004253640849008554,0.0007356592973124032,0.0024847257245396923,-0.004733781890873643,0.004238307147773203,0.0024814726571923957,0.004611463965463749
high-noise_5,libsvm,true,1.0,false,59958.7579144,0.3137331608491129,0.0014859786218685753,0.15474631071203146,-0.45003134635910086,0.31379175262135467,0.24512359790513585,0.3193829497184147
